      Lon      Lat    Year   SID   PID    Px    Py Pheight   IID   PFT Age     Pos  Height  Boleht    Diam    CrownA   DensI     LAI     GPP   GPPns   GPPno   Cmass
    13.25    55.75    1801     0     0     1     1       0    84     1 298  0.4211 38.8084 19.4042  0.5219   52.9919  0.0010  1.5454  0.0405  0.0559  0.0662  1.6782
    13.25    55.75    1801     0     0     1     1       0    85     1 298  0.6048 35.0285 17.5142  0.4479   41.4887  0.0020  1.8569  0.0723  0.0998  0.1172  2.2410
    13.25    55.75    1801     0     0     1     1       0    86     1 298  0.7634 25.9524 12.9762  0.2863   20.2723  0.0030  2.3606  0.0611  0.0849  0.0994  1.0334
    13.25    55.75    1801     0     0     1     1       0    97     4 293  0.9360 41.2161 20.6081  0.5709  101.9731  0.0010  3.1085  0.0876  0.1378  0.1638  2.1351
    13.25    55.75    1801     0     0     1     1       0   139     0 218  0.9395  3.7658  1.8829  0.0161    0.2018  0.0020  0.3320  0.0000  0.0000  0.0000  0.0003
    13.25    55.75    1801     0     0     1     1       0   153    10   0  0.0000  0.0000  0.0000  0.0000    1.0000  1.0000  0.0008  0.0002  0.0003  0.0003  0.0001
    13.25    55.75    1801     0     0     1     1       0   162     4 158  0.4693 16.8006  8.4003  0.1496   11.9607  0.0050  3.1187  0.0442  0.0658  0.0723  0.3098
    13.25    55.75    1801     0     0     1     1       0   172     4 128  0.4204 14.0944  7.0472  0.1151    7.8633  0.0040  1.5120  0.0057  0.0094  0.0095  0.1205
    13.25    55.75    1801     0     0     1     1       0   190     4  88  0.5583 13.9891  6.9946  0.1138    7.7237  0.0350  3.5566  0.1660  0.2438  0.2487  1.0710
    13.25    55.75    1801     0     0     1     1       0   204     4  58  0.3272 15.4719  7.7359  0.1323    9.8244  0.0180  4.9038  0.1728  0.2720  0.3028  0.8329
    13.25    55.75    1801     0     0     1     1       0   210     4  48  0.6996 14.0881  7.0440  0.1150    7.8548  0.0190  3.9557  0.1014  0.1488  0.1522  0.6022
    13.25    55.75    1801     0     0     1     1       0   213     1  43  0.7877  4.5321  2.2661  0.0212    0.3141  0.0010  0.0156  0.0000  0.0000  0.0000  0.0003
    13.25    55.75    1801     0     0     1     1       0   214     4  43  0.7647  6.6204  3.3102  0.0373    1.2940  0.1550  2.3836  0.0728  0.1177  0.1221  0.2605
    13.25    55.75    1801     0     0     1     1       0   216     0  38  0.0845  3.8824  1.9412  0.0168    0.2174  0.0130  0.0003  0.0000  0.0000  0.0000  0.0022
    13.25    55.75    1801     0     0     1     1       0   217     1  38  0.0923  5.2171  2.6086  0.0259    0.4347  0.0010  0.0027  0.0000  0.0000  0.0000  0.0005
